"Pickup Shipping","Spedizione Ritiro in Sede"
"Enabled","Abilitato"
"Title","Titolo"
"Allowed Provinces","Province Consentite"
"Please select the provinces where this shipping method is available.","Seleziona le province in cui questo metodo di spedizione è disponibile."
"Pickup Shipping Method","Metodo di Spedizione Ritiro in Sede"
"Shipping cost","Costo di Spedizione"
"Please enter a fixed shipping cost for the pickup method.","Inserisci un costo di spedizione fisso per il metodo di ritiro."
"Invalid province selected.","Provincia selezionata non valida."
"Pickup location","Luogo di Ritiro"
